Cost;Gamma;AUC Train;AUC Test
16384;8;1;0.5
16384;16;1;0.5
16384;32;1;0.5
16384;64;1;0.5
16384;128;1;0.5
16384;256;1;0.5
16384;512;1;0.5
16384;1024;1;0.5
16384;2048;1;0.5
16384;4096;1;0.5
16384;8192;1;0.5
16384;16384;1;0.5
16384;32768;1;0.5
32768;3.0517578125e-05;0.866426773635363;0.863532110091743
32768;6.103515625e-05;0.85360626081485;0.865825688073395
32768;0.0001220703125;0.852839389649206;0.866590214067278
32768;0.000244140625;0.852839389649206;0.865825688073395
32768;0.00048828125;0.827965235173824;0.862767584097859
32768;0.0009765625;0.867960515966651;0.861238532110092
32768;0.001953125;0.934363693566148;0.859709480122324
32768;0.00390625;0.999233128834356;0.85282874617737
32768;0.0078125;1;0.855122324159021
32768;0.015625;1;0.855886850152905
32768;0.03125;1;0.855122324159021
32768;0.0625;1;0.857415902140673
32768;0.125;1;0.860474006116208
32768;0.25;1;0.863532110091743
32768;0.5;1;0.828746177370031
32768;1;1;0.706039755351682
32768;2;1;0.541666666666667
32768;4;1;0.5
32768;8;1;0.5
32768;16;1;0.5
32768;32;1;0.5
32768;64;1;0.5
32768;128;1;0.5
32768;256;1;0.5
32768;512;1;0.5
32768;1024;1;0.5
32768;2048;1;0.5
32768;4096;1;0.5
32768;8192;1;0.5
32768;16384;1;0.5
32768;32768;1;0.5
